#Image_Name Image_Time_UTC Pointing
h3868_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3868_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3868_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3876_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3876_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3876_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3909_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3909_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3942_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3942_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3942_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3999_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3999_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3999_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4030_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4030_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4030_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4030_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4233_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4233_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4233_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4233_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4274_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4274_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h4274_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4274_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4307_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4307_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4307_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4307_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4307_0007_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4332_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4332_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4340_0002_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4340_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4340_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4340_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4373_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4373_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4373_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4381_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4381_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4381_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4381_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4414_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4414_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4414_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4414_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4447_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4447_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4447_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4529_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4529_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4554_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
